FUR-TA-10004442,Riverside Furniture Stanwyck Manor Table Series,Black,Furniture,Tables,2017-01-09,Cape Robbin,"5.5,8.5,7,6.5,7.5,9,8",4.00E+11,,2
FUR-TA-10004534,Bevis 44 x 96 Conference Tables,Black,Furniture,Tables,2016-10-05,Lauren Ralph Lauren,,8.90E+11,,0
FUR-TA-10004575,Hon 5100 Series Wood Tables,Pink,Furniture,Tables,2016-08-27,SNEED,,,599 g,4
FUR-TA-10004607,Hon 2111 Invitation Series Straight Table,Blue,Furniture,Tables,2017-01-27,Style & Co,5.5,6.36E+11,,2
FUR-TA-10004619,Hon Non-Folding Utility Tables,Blue,Furniture,Tables,2016-11-10,,,8.29E+11,,2
FUR-TA-10004767,Safco Drafting Table,Blue,Furniture,Tables,2016-03-15,,,,,2
FUR-TA-10004915,"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",Pink,Furniture,Tables,2015-12-01,,,,,3
OFF-AP-10000026,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,White,Office Supplies,Appliances,2016-11-01,Nike,,8.21E+11,,5
OFF-AP-10000027,Hoover Commercial SteamVac,Pink,Office Supplies,Appliances,2016-11-04,,5.5,6.02E+11,,5
OFF-AP-10000055,Belkin F9S820V06 8 Outlet Surge,Black,Office Supplies,Appliances,2017-01-27,Timberland,,906443819,,3
OFF-AP-10000159,Belkin F9M820V08 8 Outlet Surge,Blue,Office Supplies,Appliances,2016-03-04,Outdoor Recreation Group,,20968602276,6.3 lbs,2
OFF-AP-10000179,Honeywell Enviracaire Portable HEPA Air Cleaner for up to 10 x 16 Room,Pink,Office Supplies,Appliances,2016-03-30,,,,,4
OFF-AP-10000240,Belkin F9G930V10-GRY 9 Outlet Surge,Blue,Office Supplies,Appliances,2016-03-30,,,,,4
OFF-AP-10000252,Harmony HEPA Quiet Air Purifiers,Black,Office Supplies,Appliances,2017-01-12,Keuka SureGrip,,8.46E+11,,2
OFF-AP-10000275,"Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black",Pink,Office Supplies,Appliances,2017-01-14,Nobles Health Care Products,,6.87E+11,,0
OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Blue,Office Supplies,Appliances,2016-02-14,,,,,3
OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,Blue,Office Supplies,Appliances,2017-01-16,Bedroom Athletics,,,,0
OFF-AP-10000390,Euro Pro Shark Stick Mini Vacuum,Blue,Office Supplies,Appliances,2016-03-22,,12,8.85E+11,,2
OFF-AP-10000576,Belkin 7 Outlet SurgeMaster II,Blue,Office Supplies,Appliances,2016-04-22,,,7.00E+11,,0
OFF-AP-10000595,Disposable Triple-Filter Dust Bags,Blue,Office Supplies,Appliances,2016-01-15,,7.5,,,0
OFF-AP-10000692,Fellowes Mighty 8 Compact Surge Protector,Blue,Office Supplies,Appliances,2016-10-05,PleaserUSA,,8.85E+11,,0
OFF-AP-10000696,Holmes Odor Grabber,Pink,Office Supplies,Appliances,2015-11-02,,,,,0
OFF-AP-10000804,Hoover Portapower Portable Vacuum,Blue,Office Supplies,Appliances,2016-02-14,,,6.48E+11,,3
OFF-AP-10000828,Avanti 4.4 Cu. Ft. Refrigerator,Blue,Office Supplies,Appliances,2016-04-15,,,,,0
OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Blue,Office Supplies,Appliances,2016-02-02,,,,,4
OFF-AP-10000938,Avanti 1.7 Cu. Ft. Refrigerator,Blue,Office Supplies,Appliances,2017-01-14,Acorn,,49129353185,,0
OFF-AP-10001005,Honeywell Quietcare HEPA Air Cleaner,Blue,Office Supplies,Appliances,2016-11-11,DDI,,8.58E+11,,0
OFF-AP-10001058,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Blue,Office Supplies,Appliances,2015-11-06,Rctech,,,,3
OFF-AP-10001124,Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Blue,Office Supplies,Appliances,2016-10-05,Bucco Capensis,"6,6.5,7,7.5,8",8.05E+11,,2
OFF-AP-10001154,Bionaire Personal Warm Mist Humidifier/Vaporizer,Blue,Office Supplies,Appliances,2016-01-21,,,,,3
OFF-AP-10001205,Belkin 5 Outlet SurgeMaster Power Centers,Blue,Office Supplies,Appliances,2016-02-18,Dearfoams,,39161349314,,0
OFF-AP-10001242,APC 7 Outlet Network SurgeArrest Surge Protector,Blue,Office Supplies,Appliances,2016-11-02,Under Armour,,8.89E+11,,4
OFF-AP-10001271,Eureka The Boss Cordless Rechargeable Stick Vac,Pink,Office Supplies,Appliances,2017-01-17,,"10,7,6,9,8,11",6.05E+11,,6
OFF-AP-10001293,Belkin 8 Outlet Surge Protector,Blue,Office Supplies,Appliances,2016-03-04,,11,6.40E+11,,0
OFF-AP-10001366,Staple holder,Blue,Office Supplies,Appliances,2016-03-22,,,,,0
OFF-AP-10001391,Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,White,Office Supplies,Appliances,2017-01-23,Vince Camuto,"8.5,7,9.5,6.5,8",8.87E+11,,0
OFF-AP-10001394,Harmony Air Purifier,Blue,Office Supplies,Appliances,2016-01-02,,,,,3
OFF-AP-10001469,Fellowes 8 Outlet Superior Workstation Surge Protector,Blue,Office Supplies,Appliances,2017-01-27,,,6.18E+11,,0
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Blue,Office Supplies,Appliances,2016-10-05,N.Y.L.A.,,7.82E+11,,0
OFF-AP-10001563,Belkin Premiere Surge Master II 8-outlet surge protector,Blue,Office Supplies,Appliances,2015-11-16,Qianyuyu,,,499 g,0
OFF-AP-10001564,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,Blue,Office Supplies,Appliances,2017-01-20,Levi's,,8.87E+11,,4
OFF-AP-10001626,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",Blue,Office Supplies,Appliances,2017-01-09,,"6,11",8.88E+11,,0
OFF-AP-10001634,Hoover Commercial Lightweight Upright Vacuum,Pink,Office Supplies,Appliances,2017-01-24,,,7.02E+11,,3
OFF-AP-10001947,Acco 6 Outlet Guardian Premium Plus Surge Suppressor,Blue,Office Supplies,Appliances,2016-11-10,Brinley Co.,"10,8.5,7,6,6.5,7.5,9,8,11",8.70E+11,,3
OFF-AP-10001962,Black & Decker Filter for Double Action Dustbuster Cordless Vac BLDV7210,White,Office Supplies,Appliances,2017-01-24,Rockport,,8.87E+11,,6
OFF-AP-10002082,Holmes HEPA Air Purifier,Blue,Office Supplies,Appliances,2016-01-02,,,,,3
OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Black,Office Supplies,Appliances,2015-11-09,Mephisto,,8.87E+11,,4
OFF-AP-10002191,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Black,Office Supplies,Appliances,2016-03-10,,,,,2
OFF-AP-10002203,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Pink,Office Supplies,Appliances,2016-03-03,,8,8.87E+11,,0
OFF-AP-10002222,Staple holder,Blue,Office Supplies,Appliances,2016-03-26,,,,,0
OFF-AP-10002287,"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",Blue,Office Supplies,Appliances,2017-01-12,,,8.88E+11,,5
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Blue,Office Supplies,Appliances,2016-03-11,,,,,6
OFF-AP-10002350,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,Pink,Office Supplies,Appliances,2016-11-01,Puma,,8.88E+11,,2
OFF-AP-10002403,Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,Black,Office Supplies,Appliances,2016-05-04,,,,,0
OFF-AP-10002439,Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Blue,Office Supplies,Appliances,2016-02-14,,,8.87E+11,,0
OFF-AP-10002457,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",Blue,Office Supplies,Appliances,2017-01-16,Nine West,8.5,7.23E+11,,2
OFF-AP-10002472,3M Office Air Cleaner,Blue,Office Supplies,Appliances,2016-09-27,Reebok,,8.88E+11,,0
OFF-AP-10002495,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Blue,Office Supplies,Appliances,2016-11-01,Saucony,,44212820520,,0
OFF-AP-10002518,Kensington 7 Outlet MasterPiece Power Center,Blue,Office Supplies,Appliances,2016-11-01,Deer Stags,,7.03E+11,,0
OFF-AP-10002534,3.6 Cubic Foot Counter Height Office Refrigerator,Blue,Office Supplies,Appliances,2016-11-07,Pelle Moda,9.5,7.84E+11,,0
OFF-AP-10002578,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Blue,Office Supplies,Appliances,2016-04-07,,,,,0
OFF-AP-10002651,Hoover Upright Vacuum With Dirt Cup,Black,Office Supplies,Appliances,2017-01-14,PleaserUSA,,8.85E+11,,0
OFF-AP-10002670,Belkin 8-Outlet Premiere SurgeMaster II Surge Protectors,Blue,Office Supplies,Appliances,2014-11-12,,,,,2
OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Blue,Office Supplies,Appliances,2017-01-17,,7,8.26E+11,,0
OFF-AP-10002734,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,White,Office Supplies,Appliances,2016-11-17,,,,,2
OFF-AP-10002765,Fellowes Advanced Computer Series Surge Protectors,Blue,Office Supplies,Appliances,2017-01-24,ELLIE SHOES,,8.43E+11,,4
OFF-AP-10002867,Fellowes Command Center 5-outlet power strip,Black,Office Supplies,Appliances,2016-11-11,Puma,,8.86E+11,,0
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Blue,Office Supplies,Appliances,2016-03-25,,,7.62E+11,,2
OFF-AP-10002906,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,Pink,Office Supplies,Appliances,2016-03-12,,,,,1
OFF-AP-10002998,Holmes 99% HEPA Air Purifier,Black,Office Supplies,Appliances,2017-01-27,,,7.04E+11,,4
OFF-AP-10003040,Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,Blue,Office Supplies,Appliances,2016-04-07,,11.5,91208425542,,0
OFF-AP-10003057,Honeywell Enviracaire Portable HEPA Air Cleaner for 16' x 20' Room,Blue,Office Supplies,Appliances,2017-01-17,FITFLOP,,8.84E+11,,5
OFF-AP-10003099,"Eureka Hand Vacuum, Bagless",Blue,Office Supplies,Appliances,2015-10-24,,,,,2
OFF-AP-10003217,Eureka Sanitaire  Commercial Upright,Black,Office Supplies,Appliances,2016-08-06,,,8.24E+11,,3
OFF-AP-10003266,"Holmes Replacement Filter for HEPA Air Cleaner, Large Room",Blue,Office Supplies,Appliances,2017-01-24,A. Testoni,,8.06E+11,,4
OFF-AP-10003278,Belkin 7-Outlet SurgeMaster Home Series,Blue,Office Supplies,Appliances,2016-02-14,,,8.88E+11,,0
OFF-AP-10003281,Acco 6 Outlet Guardian Standard Surge Suppressor,Blue,Office Supplies,Appliances,2017-01-24,Charles By Charles David,,6.37E+11,,2
OFF-AP-10003287,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,Black,Office Supplies,Appliances,2015-08-14,,,98682594870,,4
OFF-AP-10003590,Hoover WindTunnel Plus Canister Vacuum,Blue,Office Supplies,Appliances,2017-01-12,Via Spiga,"10,5,5.5,6,6.5,7,7.5,8,8.5,9",93635561282,,0
OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Black,Office Supplies,Appliances,2016-01-02,,,,,0
OFF-AP-10003779,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Blue,Office Supplies,Appliances,2016-03-27,,,,,0
OFF-AP-10003842,Euro-Pro Shark Turbo Vacuum,Black,Office Supplies,Appliances,2016-10-05,B. Makowsky,,,,0
OFF-AP-10003849,Hoover Shoulder Vac Commercial Portable Vacuum,Blue,Office Supplies,Appliances,2016-03-02,,,8.84E+11,,0
OFF-AP-10003860,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,Black,Office Supplies,Appliances,2017-01-12,Guess,"8,10,11,7.5,8.5,9,9.5",8.88E+11,,0
OFF-AP-10003884,"Fellowes Smart Surge Ten-Outlet Protector, Platinum",Pink,Office Supplies,Appliances,2016-11-15,Nike,,91202479084,,1
OFF-AP-10003914,"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",Blue,Office Supplies,Appliances,2016-01-24,,,,,2
OFF-AP-10003971,Belkin 6 Outlet Metallic Surge Strip,Blue,Office Supplies,Appliances,2016-03-07,,"3,7,5,18,15,9,13,11",,,2
OFF-AP-10004036,Bionaire 99.97% HEPA Air Cleaner,Blue,Office Supplies,Appliances,2017-01-27,Portland Product Werks,"8 M,10 M,10.5 M,12 M,11 M,8.5 M,9 M,9.5 M",8.40E+11,,0
OFF-AP-10004052,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",Pink,Office Supplies,Appliances,2016-07-28,,,,,0
OFF-AP-10004136,Kensington 6 Outlet SmartSocket Surge Protector,Blue,Office Supplies,Appliances,2016-11-04,Belle Sigerson Morrison,"10,7.5",8.88E+11,,0
OFF-AP-10004233,Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,Pink,Office Supplies,Appliances,2016-09-11,,,7.19E+11,,0
OFF-AP-10004249,Staple holder,Blue,Office Supplies,Appliances,2016-04-08,,,71765014496,2.0 lbs,0
OFF-AP-10004336,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Blue,Office Supplies,Appliances,2016-05-09,,,78074491550,,0
OFF-AP-10004487,Kensington 4 Outlet MasterPiece Compact Power Control Center,Black,Office Supplies,Appliances,2016-03-11,,,,,0
OFF-AP-10004532,Kensington 6 Outlet Guardian Standard Surge Protector,Blue,Office Supplies,Appliances,2016-03-29,,,,,0
OFF-AP-10004540,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",Blue,Office Supplies,Appliances,2017-01-27,GameDay Boots,"10.5,8.5,7,7.5,9,8,13,11",8.49E+11,,0
OFF-AP-10004655,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",Pink,Office Supplies,Appliances,2015-11-30,,,8.87E+11,3.0 lbs,3
OFF-AP-10004708,Fellowes Superior 10 Outlet Split Surge Protector,Blue,Office Supplies,Appliances,2015-11-16,Qianyuyu,,,499 g,4
OFF-AP-10004785,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Blue,Office Supplies,Appliances,2016-10-05,Tretorn,"8,9,9.5",8.85E+11,,0
OFF-AP-10004859,Acco 6 Outlet Guardian Premium Surge Suppressor,Blue,Office Supplies,Appliances,2016-11-10,Vision Street Wear,,8.47E+11,,0
OFF-AP-10004868,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,White,Office Supplies,Appliances,2016-10-05,Cushe,"11,6,7,8,9",18473169650,,0
OFF-AR-10000034,"BIC Brite Liner Grip Highlighters, Assorted, 5/Pack",Blue,Office Supplies,Art,2016-11-07,Nike,,6.60E+11,,0
OFF-AR-10000127,Newell 321,Blue,Office Supplies,Art,2016-04-17,,,,,7
OFF-AR-10000203,Newell 336,Blue,Office Supplies,Art,2016-03-22,,10.5,8.54E+11,,0
OFF-AR-10000246,Newell 318,Blue,Office Supplies,Art,2016-11-15,Puma,"8.5,7,11,12",8.89E+11,,0
OFF-AR-10000255,Newell 328,White,Office Supplies,Art,2016-10-28,,"10.5,9.5,6.5,7.5,9,8",7.13E+11,,0
OFF-AR-10000369,Design Ebony Sketching Pencil,Black,Office Supplies,Art,2016-03-30,,,,,0
OFF-AR-10000380,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Blue,Office Supplies,Art,2016-10-05,Toms,,8.86E+11,,2
OFF-AR-10000390,Newell Chalk Holder,Blue,Office Supplies,Art,2016-05-31,,12,93625848751,,0
OFF-AR-10000411,Boston 16701 Slimline Battery Pencil Sharpener,Black,Office Supplies,Art,2016-01-02,,,,,2
OFF-AR-10000422,Pencil and Crayon Sharpener,Blue,Office Supplies,Art,2017-01-23,Jordan,,8.87E+11,,0
OFF-AR-10000462,Sanford Pocket Accent Highlighters,Blue,Office Supplies,Art,2015-11-16,Qianyuyu,,,499 g,0
OFF-AR-10000475,"Hunt BOSTON Vista Battery-Operated Pencil Sharpener, Black",Blue,Office Supplies,Art,2016-11-11,Mia Girl,"7,6,6.5,8",8.88E+11,,0
OFF-AR-10000588,Newell 345,Pink,Office Supplies,Art,2015-11-16,FunWorld,,71765050739,,0
OFF-AR-10000614,Barrel Sharpener,Blue,Office Supplies,Art,2015-11-09,,,7.88E+11,5.0 lbs,0
OFF-AR-10000634,Newell 320,Blue,Office Supplies,Art,2016-01-02,,,,,0
OFF-AR-10000657,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",Blue,Office Supplies,Art,2017-01-19,Style & Co.,"8.5,10,5.5,6.5,7.5",6.08E+11,,6
OFF-AR-10000658,Newell 324,Pink,Office Supplies,Art,2017-01-27,Easy Street,,8.86E+11,,3
OFF-AR-10000716,DIXON Ticonderoga Erasable Checking Pencils,Black,Office Supplies,Art,2017-01-27,,,8.85E+11,,3
OFF-AR-10000817,Manco Dry-Lighter Erasable Highlighter,Blue,Office Supplies,Art,2016-03-21,,,,,2
OFF-AR-10000823,Newell 307,Blue,Office Supplies,Art,2016-03-11,,,,,5
OFF-AR-10000896,Newell 329,Black,Office Supplies,Art,2016-02-14,,,6.48E+11,,0
OFF-AR-10000914,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pink,Office Supplies,Art,2017-01-17,Mia Limited Edition,"7,6,7.5",8.88E+11,,0
OFF-AR-10000937,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",White,Office Supplies,Art,2017-01-07,,"10,9,8,13,12",6.78E+11,,0
OFF-AR-10000940,Newell 343,Blue,Office Supplies,Art,2016-11-04,PleaserUSA,,8.85E+11,,2
OFF-AR-10001022,SANFORD Liquid Accent Tank-Style Highlighters,Black,Office Supplies,Art,2016-03-30,,,,,2
OFF-AR-10001026,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Blue,Office Supplies,Art,2016-11-10,,,7.51E+11,,0
OFF-AR-10001044,"BOSTON Ranger #55 Pencil Sharpener, Black",Blue,Office Supplies,Art,2017-01-27,American Living,8,8.89E+11,,0
OFF-AR-10001118,"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",Blue,Office Supplies,Art,2017-01-22,,"12,12.5",8.86E+11,,2
OFF-AR-10001130,"Quartet Alpha White Chalk, 12/Pack",Blue,Office Supplies,Art,2016-10-28,Blowfish,,8.88E+11,,2
OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",Black,Office Supplies,Art,2016-03-03,,,,,0
OFF-AR-10001166,Staples in misc. colors,Black,Office Supplies,Art,2016-09-27,,,8.88E+11,,0
OFF-AR-10001177,Newell 349,Blue,Office Supplies,Art,2017-01-27,GameDay Boots,"10.5,10,8.5,9.5,11.5,9,8,13,11,12",8.49E+11,,0
OFF-AR-10001216,Newell 339,Blue,Office Supplies,Art,2017-01-19,Yaleet Inc.,,7.06E+11,,0
OFF-AR-10001221,"Dixon Ticonderoga Erasable Colored Pencil Set, 12-Color",Blue,Office Supplies,Art,2017-01-09,Sugar,"8.5,10,7,9.5,6.5,7.5,9,8",8.89E+11,,0
OFF-AR-10001227,Newell 338,Blue,Office Supplies,Art,2017-01-09,,"8.5,9.5,5,3.5",8.26E+11,,2
OFF-AR-10001231,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",Pink,Office Supplies,Art,2017-01-09,,,31042521871,,2
OFF-AR-10001246,Newell 317,Blue,Office Supplies,Art,2016-11-11,Zoot,,8.87E+11,,0
OFF-AR-10001315,Newell 310,Blue,Office Supplies,Art,2017-01-31,,,,,0
OFF-AR-10001374,"BIC Brite Liner Highlighters, Chisel Tip",Blue,Office Supplies,Art,2016-11-04,ELLIE SHOES,,8.89E+11,,2
OFF-AR-10001419,Newell 325,Black,Office Supplies,Art,2016-03-15,,,,,0
OFF-AR-10001427,Newell 330,Blue,Office Supplies,Art,2016-01-02,,,,,0
OFF-AR-10001446,Newell 309,Pink,Office Supplies,Art,2016-11-10,Nina,"5.5,7",7.16E+11,,0
OFF-AR-10001468,"Sanford Prismacolor Professional Thick Lead Art Pencils, 36-Color Set",Black,Office Supplies,Art,2017-01-12,New Balance Numeric,"10.5,8.5,10,7,6,9.5,7.5,9,11.5,8,13,11,12",8.90E+11,,0
OFF-AR-10001473,Newell 313,Blue,Office Supplies,Art,2017-01-27,Converse,,22865264045,,0
OFF-AR-10001545,Newell 326,Pink,Office Supplies,Art,2017-01-22,Roper,,52356893157,,2
OFF-AR-10001573,American Pencil,Blue,Office Supplies,Art,2017-01-14,Ugg,,1.90E+11,,3
OFF-AR-10001615,Newell 34,Blue,Office Supplies,Art,2016-11-15,AGS Footwear,"8 M,10 M,13 M,7 M,12 M,11 M",7.45E+11,,0
OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,Pink,Office Supplies,Art,2016-03-23,,,,,5
OFF-AR-10001683,Lumber Crayons,Blue,Office Supplies,Art,2016-03-23,,,,,0
OFF-AR-10001725,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Black,Office Supplies,Art,2017-01-27,,"10,7,9.5,7.5,8",8.88E+11,,3
OFF-AR-10001761,Avery Hi-Liter Smear-Safe Highlighters,Black,Office Supplies,Art,2017-01-27,Rubies,,82686150378,,6
OFF-AR-10001770,Economy #2 Pencils,Blue,Office Supplies,Art,2016-11-02,Callisto,"10,7,9",8.02E+11,,4
OFF-AR-10001860,BIC Liqua Brite Liner,Black,Office Supplies,Art,2016-03-11,,"20,18,16,14",,,4
OFF-AR-10001868,Prang Dustless Chalk Sticks,Black,Office Supplies,Art,2016-05-17,,,,,1
OFF-AR-10001897,Model L Table or Wall-Mount Pencil Sharpener,Pink,Office Supplies,Art,2016-03-30,,,,,0
OFF-AR-10001915,Peel-Off China Markers,Blue,Office Supplies,Art,2015-11-16,Qianyuyu,,,499 g,0
OFF-AR-10001919,"OIC #2 Pencils, Medium Soft",Blue,Office Supplies,Art,2015-09-20,,,,,0
OFF-AR-10001940,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Blue,Office Supplies,Art,2016-11-01,,,8.43E+11,,2
OFF-AR-10001953,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Pink,Office Supplies,Art,2016-01-02,,"10,8.5,7,6,9.5,6.5,7.5,9,8",,,0
OFF-AR-10001954,Newell 331,Blue,Office Supplies,Art,2016-03-11,,,,,2
OFF-AR-10001955,Newell 319,Pink,Office Supplies,Art,2015-12-01,Invicta,,7.23E+11,2.0 lbs,0
OFF-AR-10001958,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Blue,Office Supplies,Art,2016-01-02,,,,,5
OFF-AR-10001972,Newell 323,Pink,Office Supplies,Art,2016-01-01,,,,,0
OFF-AR-10001988,Bulldog Table or Wall-Mount Pencil Sharpener,Pink,Office Supplies,Art,2016-05-31,,8.5,6.63E+11,,0
OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Black,Office Supplies,Art,2016-10-29,Nike,,8.87E+11,,0
OFF-AR-10002067,Newell 334,Black,Office Supplies,Art,2016-11-15,Wolverine World Wide,"8 M,10 M,8.5 M,9.5 M",7.73E+11,,3
OFF-AR-10002135,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Pink,Office Supplies,Art,2015-12-02,,,,,0
OFF-AR-10002221,12 Colored Short Pencils,Pink,Office Supplies,Art,2016-09-25,A.N.A,"10,11,9,9.5",,,0
OFF-AR-10002240,Panasonic KP-150 Electric Pencil Sharpener,Blue,Office Supplies,Art,2016-02-17,,,,,2
OFF-AR-10002255,Newell 346,Pink,Office Supplies,Art,2016-02-02,,"40.5,38.5,37.5,41,40,36,39,37,38,35.5",,,4
OFF-AR-10002257,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Pink,Office Supplies,Art,2016-03-15,,,,,0
OFF-AR-10002280,Staples in misc. colors,Blue,Office Supplies,Art,2016-08-23,Jordan,,8.85E+11,,2
OFF-AR-10002335,DIXON Oriole Pencils,White,Office Supplies,Art,2017-01-17,,"10,11,6,7,8,9",6.05E+11,,0
OFF-AR-10002375,Newell 351,Black,Office Supplies,Art,2016-04-01,,,8.89E+11,,0
OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Blue,Office Supplies,Art,2017-01-12,Stacy Adams,9.5,7.18E+11,,2
OFF-AR-10002445,SANFORD Major Accent Highlighters,Blue,Office Supplies,Art,2016-03-27,,,,,5
OFF-AR-10002467,Dixon Ticonderoga Pencils,Blue,Office Supplies,Art,2017-01-17,Khombu,"10,7,9",6.20E+11,,0
OFF-AR-10002578,Newell 335,Black,Office Supplies,Art,2017-01-20,Saucony,,6.36E+11,,0
OFF-AR-10002656,Sanford Liquid Accent Highlighters,Blue,Office Supplies,Art,2016-11-07,Beacon,7,7.59E+11,,0
OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Blue,Office Supplies,Art,2017-01-17,,,8.86E+11,,3
OFF-AR-10002766,Prang Drawing Pencil Set,Pink,Office Supplies,Art,2016-11-04,Lucky,,8.90E+11,,0
OFF-AR-10002804,Faber Castell Col-Erase Pencils,Blue,Office Supplies,Art,2017-01-19,,,8.48E+11,,3
OFF-AR-10002818,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,Blue,Office Supplies,Art,2016-01-02,,,,,2
OFF-AR-10002833,Newell 322,Blue,Office Supplies,Art,2016-03-12,,,,,0
OFF-AR-10002952,Stanley Contemporary Battery Pencil Sharpeners,Blue,Office Supplies,Art,2016-10-28,Alfani,,6.36E+11,,4
OFF-AR-10002956,Boston 16801 Nautilus Battery Pencil Sharpener,Blue,Office Supplies,Art,2016-03-15,,,,,0
OFF-AR-10002987,Prismacolor Color Pencil Set,White,Office Supplies,Art,2016-11-15,Diesel,11,,,0
OFF-AR-10003045,Prang Colored Pencils,Pink,Office Supplies,Art,2017-01-09,,,8.41E+11,,1
OFF-AR-10003056,Newell 341,Pink,Office Supplies,Art,2017-01-12,Alfani,"10,11,5.5,7.5,8.5,9,9.5",6.89E+11,,0
OFF-AR-10003158,Fluorescent Highlighters by Dixon,Black,Office Supplies,Art,2017-01-05,The Brand Felt Ltd,,https://www.walmart.com/ip/Boot-Liners-824BB-with-85-Pressed-Wool-10-Height-Size-1/175657672,,3
OFF-AR-10003179,Dixon Ticonderoga Core-Lock Colored Pencils,Blue,Office Supplies,Art,2016-04-09,,,31652191389,,0
OFF-AR-10003183,Avery Fluorescent Highlighter Four-Color Set,Blue,Office Supplies,Art,2016-11-04,,"10,7,6,5,9,8",1.90E+11,,5
OFF-AR-10003190,Newell 32,Blue,Office Supplies,Art,2017-01-12,Roper,"8.5 W,7 W",8.05E+11,,3
OFF-AR-10003217,Newell 316,Black,Office Supplies,Art,2016-05-11,,,,,2
OFF-AR-10003251,Prang Drawing Pencil Set,White,Office Supplies,Art,2016-04-02,Toms,,8.86E+11,,2
OFF-AR-10003338,"Eberhard Faber 3 1/2"" Golf Pencils",Blue,Office Supplies,Art,2017-01-12,Franco Sarto,"8,10,5,5.5,6,6.5,7,8.5,9",93628908926,,0
